answer,count,count,count,count,count
Harvard,27.0,18.0,7.0,7.0,3.0
Detroit,27.0,9.0,12.0,12.0,6.0
Einstein,27.0,5.0,7.0,1.0,5.0
Iran,27.0,17.0,23.0,19.0,11.0
Elvis Presley,26.0,17.0,8.0,1.0,1.0
oxygen,26.0,20.0,14.0,3.0,6.0
England,26.0,18.0,14.0,11.0,4.0
Louisiana,26.0,21.0,15.0,20.0,15.0
Amelia Earhart,26.0,11.0,4.0,2.0,3.0
New Zealand,26.0,30.0,26.0,22.0,14.0
World War I,26.0,25.0,17.0,4.0,2.0
Mercury,26.0,21.0,11.0,5.0,5.0
the Civil War,26.0,17.0,9.0,5.0,4.0
Marie Antoinette,26.0,20.0,17.0,7.0,3.0
Elizabeth I,26.0,14.0,11.0,8.0,2.0
German,25.0,18.0,15.0,6.0,4.0
New York City,25.0,11.0,15.0,10.0,4.0
blue,25.0,10.0,13.0,11.0,3.0
Atlanta,25.0,22.0,14.0,4.0,12.0
Monaco,25.0,16.0,12.0,7.0,4.0
Little Women,25.0,3.0,3.0,1.0,
Georgia,25.0,23.0,27.0,37.0,27.0
Sicily,25.0,11.0,21.0,6.0,3.0
FDR,25.0,16.0,13.0,7.0,8.0
David,25.0,25.0,26.0,9.0,8.0
2,25.0,15.0,11.0,9.0,5.0
Argentina,24.0,20.0,16.0,12.0,19.0
Pennsylvania,24.0,22.0,21.0,22.0,12.0
Sherlock Holmes,24.0,10.0,4.0,3.0,1.0
Richard Nixon,24.0,20.0,12.0,14.0,7.0
Othello,24.0,9.0,14.0,10.0,13.0
Latin,24.0,9.0,5.0,8.0,2.0
Don Quixote,24.0,15.0,7.0,4.0,
Seattle,24.0,10.0,7.0,5.0,4.0
red,24.0,11.0,9.0,11.0,1.0
Madonna,24.0,8.0,9.0,5.0,2.0
Galileo,24.0,24.0,25.0,16.0,8.0
Carmen,24.0,17.0,9.0,5.0,2.0
Marilyn Monroe,24.0,8.0,7.0,4.0,3.0
Jimmy Carter,23.0,19.0,10.0,8.0,7.0
Genesis,23.0,4.0,2.0,1.0,3.0
Rhode Island,23.0,13.0,14.0,7.0,15.0
Death of a Salesman,23.0,5.0,5.0,2.0,1.0
Jupiter,23.0,20.0,16.0,20.0,10.0
Puerto Rico,23.0,18.0,11.0,8.0,1.0
Afghanistan,23.0,14.0,14.0,12.0,10.0
mercury,23.0,14.0,8.0,5.0,7.0
Jerusalem,23.0,23.0,17.0,10.0,5.0
the heart,23.0,8.0,1.0,4.0,
Casablanca,23.0,16.0,10.0,7.0,
Charles Dickens,23.0,10.0,10.0,10.0,6.0
Margaret Thatcher,23.0,9.0,4.0,4.0,1.0
white,23.0,14.0,12.0,3.0,3.0
Queen Victoria,23.0,26.0,11.0,2.0,4.0
Catherine the Great,23.0,13.0,14.0,5.0,2.0
Edgar Allan Poe,23.0,13.0,12.0,7.0,13.0
French,22.0,23.0,13.0,15.0,4.0
Eisenhower,22.0,20.0,14.0,13.0,7.0
Bill Clinton,22.0,5.0,3.0,3.0,6.0
Hillary Clinton,22.0,7.0,2.0,1.0,
Mussolini,22.0,17.0,4.0,7.0,1.0
Noah,22.0,8.0,7.0,1.0,3.0
Vietnam,22.0,19.0,14.0,13.0,8.0
the Andes,22.0,6.0,7.0,5.0,
Huckleberry Finn,22.0,11.0,4.0,,1.0
Robinson Crusoe,22.0,10.0,6.0,,1.0
silver,21.0,14.0,10.0,7.0,6.0
Marie Curie,21.0,15.0,3.0,4.0,3.0
the Moon,21.0,13.0,5.0,5.0,
Dracula,21.0,11.0,5.0,5.0,4.0
Yale,21.0,15.0,7.0,9.0,2.0
green,21.0,14.0,6.0,4.0,4.0
Lyndon Johnson,21.0,9.0,8.0,8.0,3.0
Islam,21.0,15.0,16.0,5.0,3.0
"Washington, D.C.",21.0,4.0,7.0,10.0,10.0
Michigan,21.0,26.0,25.0,15.0,16.0
Cinderella,21.0,8.0,6.0,3.0,2.0
Attila,21.0,3.0,3.0,1.0,1.0
William the Conqueror,20.0,7.0,2.0,5.0,2.0
West Point,20.0,8.0,3.0,1.0,3.0
Oxford,20.0,17.0,10.0,3.0,2.0
Christmas,20.0,9.0,2.0,1.0,1.0
John F. Kennedy,20.0,20.0,11.0,6.0,5.0
Gone with the Wind,20.0,5.0,5.0,2.0,1.0
Neil Simon,20.0,16.0,7.0,6.0,4.0
Saturn,20.0,10.0,16.0,11.0,13.0
Jefferson,20.0,13.0,11.0,2.0,2.0
Cervantes,20.0,5.0,3.0,4.0,2.0
Iceland,20.0,29.0,21.0,24.0,21.0
Turkey,20.0,16.0,17.0,15.0,16.0
Hemingway,20.0,14.0,10.0,7.0,6.0
Copenhagen,20.0,15.0,7.0,4.0,6.0
Michael Jackson,20.0,5.0,4.0,1.0,1.0
War and Peace,20.0,7.0,7.0,3.0,1.0
Rembrandt,20.0,23.0,15.0,17.0,11.0
Wisconsin,19.0,5.0,10.0,13.0,15.0
Spanish,19.0,5.0,7.0,6.0,4.0
corn,19.0,8.0,7.0,7.0,2.0
Pocahontas,19.0,13.0,7.0,9.0,1.0
Hercules,19.0,16.0,9.0,8.0,5.0
Harriet Beecher Stowe,19.0,13.0,5.0,3.0,1.0
Norway,19.0,30.0,30.0,30.0,26.0
Kentucky,19.0,9.0,10.0,11.0,7.0
Jaws,19.0,4.0,1.0,2.0,1.0
3,19.0,23.0,19.0,11.0,8.0
Buenos Aires,19.0,7.0,8.0,1.0,8.0
Louisa May Alcott,19.0,6.0,4.0,3.0,1.0
Westminster Abbey,19.0,13.0,5.0,2.0,2.0
the <i>Titanic</i>,19.0,9.0,5.0,,
the Statue of Liberty,19.0,7.0,5.0,1.0,1.0
Genghis Khan,19.0,16.0,11.0,6.0,2.0
Niagara Falls,19.0,11.0,4.0,3.0,
Jefferson Davis,19.0,12.0,11.0,4.0,6.0
gravity,19.0,12.0,8.0,2.0,2.0
Uncle Tom's Cabin,19.0,8.0,2.0,1.0,
the Mediterranean,19.0,3.0,5.0,4.0,1.0
blood,19.0,11.0,7.0,2.0,
Utah,19.0,12.0,16.0,6.0,14.0
Newton,19.0,11.0,9.0,6.0,4.0
Notre Dame,19.0,15.0,8.0,4.0,1.0
Amsterdam,18.0,16.0,7.0,3.0,6.0
The Godfather,18.0,3.0,3.0,2.0,
the Sahara,18.0,7.0,1.0,2.0,
Stalin,18.0,19.0,10.0,4.0,5.0
football,18.0,8.0,4.0,3.0,
the Netherlands,18.0,26.0,25.0,16.0,26.0
Colorado,18.0,13.0,15.0,14.0,9.0
Moby-Dick,18.0,4.0,2.0,2.0,
rice,18.0,6.0,10.0,2.0,3.0
Nixon,18.0,11.0,8.0,5.0,5.0
Confucius,18.0,12.0,8.0,8.0,2.0
Victoria,18.0,24.0,15.0,17.0,7.0
Tiger Woods,18.0,2.0,3.0,1.0,
Wall Street,18.0,3.0,3.0,,3.0
the Seine,18.0,10.0,2.0,1.0,2.0
New Jersey,18.0,14.0,16.0,15.0,10.0
Mary Poppins,18.0,9.0,7.0,2.0,
Quebec,18.0,16.0,12.0,8.0,14.0
Alfred Hitchcock,18.0,7.0,8.0,1.0,
Napoleon Bonaparte,18.0,3.0,3.0,3.0,3.0
iron,18.0,20.0,13.0,7.0,9.0
the Panama Canal,18.0,9.0,11.0,4.0,2.0
Arthur Miller,18.0,14.0,2.0,7.0,5.0
Darwin,18.0,12.0,13.0,4.0,3.0
Hans Christian Andersen,18.0,14.0,6.0,1.0,3.0
Oliver Twist,17.0,12.0,8.0,2.0,1.0
Louis Armstrong,17.0,3.0,2.0,2.0,
Teddy Roosevelt,17.0,22.0,13.0,10.0,14.0
the Himalayas,17.0,9.0,7.0,1.0,
Tennessee Williams,17.0,8.0,15.0,10.0,7.0
John Adams,17.0,13.0,18.0,9.0,15.0
Alexander Graham Bell,17.0,5.0,5.0,4.0,4.0
Mount Everest,17.0,12.0,7.0,,2.0
Brigham Young,17.0,11.0,6.0,2.0,1.0
oil,17.0,6.0,2.0,2.0,4.0
Panama,17.0,9.0,13.0,11.0,19.0
Dallas,17.0,4.0,8.0,3.0,2.0
Lisbon,17.0,9.0,4.0,3.0,9.0
Ford,17.0,8.0,8.0,6.0,3.0
Belgium,17.0,30.0,30.0,26.0,16.0
Iraq,17.0,10.0,16.0,9.0,10.0
the Alps,17.0,10.0,6.0,2.0,1.0
Juliet,17.0,11.0,5.0,3.0,2.0
Beijing,17.0,10.0,3.0,3.0,1.0
Edison,17.0,13.0,10.0,,2.0
Stockholm,17.0,7.0,7.0,9.0,6.0
Prague,17.0,7.0,7.0,10.0,13.0
The Rolling Stones,17.0,6.0,6.0,,3.0
the Suez Canal,17.0,8.0,3.0,4.0,
Halley's Comet,17.0,6.0,3.0,4.0,
Yellowstone,17.0,13.0,4.0,1.0,2.0
Winston Churchill,17.0,6.0,8.0,10.0,3.0
Elizabeth Barrett Browning,17.0,7.0,14.0,10.0,4.0
Indiana,17.0,8.0,9.0,12.0,9.0
Tchaikovsky,17.0,17.0,11.0,14.0,11.0
the brain,17.0,5.0,7.0,6.0,2.0
Dr. Seuss,17.0,7.0,7.0,1.0,
the <i>Mayflower</i>,17.0,4.0,1.0,,
the Olympics,17.0,5.0,1.0,,
Sandra Day O'Connor,17.0,4.0,5.0,3.0,1.0
Exodus,17.0,9.0,7.0,1.0,1.0
Helsinki,17.0,8.0,7.0,7.0,4.0
Alexandria,16.0,20.0,11.0,10.0,2.0
Asia,16.0,6.0,3.0,7.0,5.0
horses,16.0,7.0,4.0,6.0,2.0
the Ganges,16.0,19.0,4.0,2.0,2.0
Buckingham Palace,16.0,2.0,5.0,3.0,
lightning,16.0,4.0,1.0,2.0,1.0
Lewis & Clark,16.0,6.0,6.0,3.0,
Titanic,16.0,8.0,5.0,2.0,2.0
Maine,16.0,18.0,28.0,32.0,20.0
Missouri,16.0,12.0,12.0,12.0,9.0
Edinburgh,16.0,11.0,10.0,4.0,2.0
the Soviet Union,16.0,16.0,11.0,5.0,2.0
Lima,16.0,6.0,3.0,2.0,6.0
Aesop,16.0,3.0,4.0,,
Samson,16.0,7.0,10.0,3.0,4.0
Maryland,16.0,11.0,9.0,13.0,14.0
Solomon,16.0,23.0,14.0,11.0,6.0
Ottawa,16.0,8.0,6.0,1.0,2.0
William Tell,16.0,11.0,7.0,3.0,2.0
the Grand Canyon,16.0,7.0,4.0,3.0,
Andy Warhol,16.0,17.0,8.0,4.0,5.0
George Gershwin,16.0,6.0,4.0,3.0,2.0
Jamaica,16.0,11.0,8.0,11.0,17.0
Woody Allen,16.0,11.0,5.0,4.0,2.0
teeth,16.0,10.0,4.0,1.0,3.0
Herman Melville,15.0,8.0,7.0,7.0,3.0
Michael Jordan,15.0,5.0,,5.0,
Betsy Ross,15.0,4.0,2.0,3.0,
Scarlett O'Hara,15.0,3.0,1.0,2.0,
the Bastille,15.0,8.0,2.0,2.0,
coffee,15.0,10.0,4.0,6.0,1.0
Nero,15.0,11.0,9.0,11.0,5.0
Babe Ruth,15.0,5.0,3.0,2.0,2.0
5,15.0,8.0,12.0,4.0,6.0
Homer,15.0,9.0,2.0,5.0,3.0
Troy,15.0,7.0,8.0,4.0,1.0
Thomas Edison,15.0,10.0,12.0,6.0,
Denmark,15.0,27.0,35.0,29.0,33.0
the Pacific,15.0,1.0,3.0,,1.0
Florence,15.0,29.0,23.0,19.0,17.0
12,15.0,14.0,4.0,10.0,6.0
an elephant,15.0,3.0,7.0,3.0,2.0
Al Gore,15.0,7.0,5.0,1.0,1.0
John,15.0,9.0,14.0,11.0,7.0
Madrid,15.0,13.0,12.0,4.0,2.0
Grant,15.0,12.0,9.0,9.0,3.0
Everest,15.0,1.0,1.0,,
Van Gogh,15.0,7.0,4.0,3.0,2.0
The Scarlet Letter,15.0,11.0,3.0,1.0,
Billy the Kid,15.0,13.0,7.0,5.0,3.0
The Nutcracker,15.0,7.0,2.0,3.0,2.0
English,15.0,13.0,8.0,16.0,3.0
Cape Cod,15.0,6.0,5.0,2.0,
4,15.0,18.0,15.0,7.0,10.0
Plato,15.0,14.0,8.0,9.0,1.0
The Wizard of Oz,15.0,9.0,3.0,2.0,1.0
St. Patrick,15.0,4.0,3.0,1.0,
Barbra Streisand,15.0,7.0,5.0,4.0,1.0
Alabama,15.0,11.0,13.0,8.0,10.0
Chaucer,15.0,7.0,4.0,2.0,3.0
Salem,14.0,4.0,5.0,2.0,2.0
Lenin,14.0,13.0,9.0,8.0,3.0
hydrogen,14.0,21.0,12.0,10.0,7.0
cotton,14.0,7.0,5.0,4.0,3.0
the Danube,14.0,13.0,11.0,7.0,8.0
mistletoe,14.0,3.0,1.0,,1.0
Paul Simon,14.0,5.0,3.0,4.0,
Milwaukee,14.0,4.0,5.0,3.0,
World War II,14.0,7.0,5.0,2.0,1.0
Adam,14.0,3.0,2.0,3.0,
Leonardo da Vinci,14.0,6.0,5.0,8.0,2.0
Denver,14.0,3.0,4.0,7.0,2.0
Pluto,14.0,10.0,14.0,13.0,6.0
Oahu,14.0,5.0,1.0,1.0,
Jamestown,14.0,15.0,4.0,13.0,4.0
light,14.0,12.0,8.0,2.0,2.0
Charles Lindbergh,14.0,4.0,2.0,1.0,1.0
van Gogh,14.0,11.0,4.0,4.0,1.0
Queen Elizabeth II,14.0,9.0,3.0,2.0,
Ernest Hemingway,14.0,16.0,12.0,7.0,6.0
Pope John Paul II,14.0,6.0,8.0,2.0,
Franklin Roosevelt,14.0,4.0,4.0,3.0,4.0
Buddhism,14.0,18.0,15.0,12.0,8.0
Gauguin,14.0,9.0,13.0,8.0,1.0
the United Nations,14.0,9.0,5.0,2.0,1.0
Margaret Mitchell,14.0,9.0,3.0,1.0,
Victor Hugo,14.0,10.0,5.0,3.0,2.0
JFK,14.0,4.0,5.0,3.0,4.0
Peter,14.0,7.0,9.0,3.0,6.0
1984,14.0,8.0,14.0,5.0,5.0
carbon dioxide,14.0,10.0,8.0,7.0,5.0
The Three Musketeers,14.0,8.0,8.0,2.0,1.0
Annie,14.0,5.0,6.0,2.0,
the Colosseum,14.0,6.0,5.0,3.0,2.0
Bangkok,14.0,10.0,6.0,1.0,9.0
helium,14.0,12.0,10.0,9.0,1.0
Louis XIV,14.0,11.0,16.0,15.0,6.0
Anne Frank,14.0,7.0,8.0,1.0,
the Atlantic,14.0,2.0,1.0,1.0,
Bob Dylan,14.0,9.0,8.0,7.0,4.0
the War of 1812,14.0,14.0,10.0,3.0,2.0
Theodore Roosevelt,14.0,16.0,22.0,19.0,8.0
1,14.0,9.0,8.0,5.0,3.0
Kansas,14.0,11.0,13.0,8.0,14.0
the Gulf of Mexico,14.0,7.0,1.0,2.0,1.0
Greek,14.0,16.0,14.0,7.0,4.0
the moon,14.0,5.0,3.0,2.0,2.0
Elizabeth II,14.0,5.0,2.0,1.0,1.0
an earthquake,14.0,6.0,3.0,1.0,
chess,14.0,7.0,6.0,3.0,2.0
Aristotle,14.0,13.0,10.0,10.0,7.0
John Paul Jones,14.0,18.0,11.0,7.0,2.0
Les Misérables,14.0,6.0,4.0,3.0,
The Beatles,14.0,5.0,3.0,1.0,
Wagner,14.0,18.0,16.0,8.0,12.0
(Alexander Graham) Bell,13.0,4.0,2.0,,1.0
Robert E. Lee,13.0,11.0,7.0,5.0,1.0
Leo,13.0,2.0,7.0,1.0,4.0
Chinese,13.0,8.0,2.0,4.0,
Illinois,13.0,18.0,13.0,11.0,13.0
Los Angeles,13.0,14.0,13.0,7.0,2.0
Tom Sawyer,13.0,8.0,1.0,1.0,
Julia Child,13.0,5.0,4.0,1.0,1.0
Star Wars,13.0,6.0,1.0,1.0,1.0
Aida,13.0,10.0,9.0,11.0,5.0
Ivan the Terrible,13.0,10.0,9.0,8.0,2.0
Robert Frost,13.0,21.0,17.0,9.0,9.0
the Rockies,13.0,5.0,3.0,,1.0
Muhammad,13.0,6.0,,5.0,
Anne Boleyn,13.0,9.0,5.0,4.0,2.0
the Declaration of Independence,13.0,4.0,3.0,2.0,
Mother Teresa,13.0,9.0,5.0,2.0,1.0
salt,13.0,16.0,6.0,5.0,4.0
Hannibal,13.0,13.0,14.0,10.0,5.0
Tarzan,13.0,8.0,4.0,2.0,1.0
Brussels,13.0,7.0,7.0,5.0,2.0
10,13.0,5.0,10.0,9.0,6.0
the Roman Empire,13.0,4.0,4.0,2.0,
Lewis Carroll,13.0,8.0,4.0,7.0,2.0
Hinduism,13.0,11.0,8.0,8.0,5.0
The Old Man and the Sea,13.0,3.0,3.0,4.0,
Oklahoma,13.0,20.0,15.0,18.0,11.0
Pablo Picasso,13.0,9.0,9.0,11.0,1.0
John Lennon,13.0,5.0,4.0,2.0,
Brutus,13.0,6.0,6.0,3.0,2.0
Oprah Winfrey,13.0,6.0,4.0,2.0,
Caracas,13.0,4.0,2.0,3.0,2.0
Mississippi,13.0,12.0,17.0,12.0,6.0
Hungary,13.0,15.0,23.0,25.0,18.0
Honolulu,13.0,6.0,7.0,2.0,
Jane Eyre,13.0,7.0,12.0,7.0,3.0
Eminem,13.0,7.0,2.0,3.0,
Robin Williams,13.0,6.0,2.0,2.0,
Truman,13.0,12.0,8.0,6.0,
Las Vegas,13.0,4.0,9.0,2.0,1.0
the Alamo,13.0,7.0,3.0,3.0,1.0
Reagan,13.0,10.0,7.0,2.0,3.0
William Shakespeare,13.0,5.0,7.0,5.0,1.0
Arabic,13.0,11.0,13.0,12.0,5.0
Grease,13.0,11.0,5.0,4.0,
North Carolina,13.0,17.0,10.0,22.0,25.0
Peru,13.0,6.0,15.0,15.0,13.0
Sherman,13.0,12.0,6.0,6.0,2.0
the Louisiana Purchase,13.0,3.0,3.0,2.0,
Peter the Great,13.0,10.0,10.0,11.0,8.0
Benedict Arnold,12.0,9.0,7.0,3.0,3.0
the <i>Mona Lisa</i>,12.0,2.0,2.0,,
bats,12.0,5.0,3.0,2.0,2.0
a horse,12.0,12.0,2.0,2.0,2.0
Cheers,12.0,5.0,2.0,1.0,
Beauty and the Beast,12.0,5.0,3.0,2.0,1.0
Elizabeth Taylor,12.0,8.0,5.0,3.0,3.0
love,12.0,10.0,13.0,5.0,
Nancy Reagan,12.0,8.0,4.0,1.0,1.0
the White House,12.0,4.0,4.0,1.0,
Mahatma Gandhi,12.0,4.0,3.0,,1.0
Versailles,12.0,5.0,5.0,5.0,1.0
Rocky,12.0,7.0,2.0,1.0,1.0
Alex Haley,12.0,5.0,6.0,3.0,
Saudi Arabia,12.0,14.0,11.0,12.0,11.0
Figaro,12.0,6.0,1.0,2.0,
coal,12.0,18.0,8.0,6.0,4.0
Dante,12.0,18.0,7.0,1.0,2.0
slavery,12.0,7.0,4.0,2.0,2.0
chlorophyll,12.0,5.0,5.0,3.0,2.0
Ellis Island,12.0,7.0,4.0,2.0,1.0
Frankenstein,12.0,6.0,4.0,2.0,2.0
Barbara Bush,12.0,6.0,5.0,1.0,2.0
Nile,12.0,10.0,,4.0,1.0
Poseidon,12.0,7.0,8.0,2.0,3.0
Oedipus,12.0,10.0,3.0,3.0,9.0
(Edgar Allan) Poe,12.0,9.0,5.0,3.0,4.0
St. Louis,12.0,8.0,9.0,10.0,8.0
Dolly Parton,12.0,5.0,2.0,1.0,3.0
Athena,12.0,7.0,13.0,7.0,4.0
The Red Badge of Courage,12.0,5.0,1.0,7.0,
Delilah,12.0,1.0,3.0,1.0,1.0
Joseph,12.0,10.0,5.0,9.0,8.0
Treasure Island,12.0,9.0,6.0,5.0,
The Lion King,12.0,7.0,3.0,1.0,
the liver,12.0,10.0,7.0,13.0,8.0
the eye,12.0,5.0,3.0,4.0,
Amadeus,12.0,4.0,4.0,8.0,
James Joyce,12.0,11.0,12.0,14.0,12.0
Rip Van Winkle,12.0,4.0,3.0,1.0,
Tom Clancy,12.0,9.0,2.0,3.0,1.0
Psycho,12.0,8.0,3.0,1.0,
Jack the Ripper,12.0,9.0,1.0,,1.0
wine,12.0,9.0,4.0,,1.0
The Grapes of Wrath,12.0,9.0,9.0,2.0,1.0
Sigmund Freud,12.0,5.0,5.0,3.0,2.0
Sesame Street,12.0,2.0,2.0,,
sugar,12.0,5.0,6.0,2.0,
soccer,12.0,8.0,5.0,7.0,1.0
Canterbury,12.0,10.0,3.0,2.0,2.0
copper,12.0,9.0,9.0,15.0,5.0
Mary,12.0,10.0,5.0,4.0,3.0
Italian,12.0,7.0,10.0,10.0,2.0
South America,12.0,17.0,6.0,5.0,2.0
Wales,12.0,25.0,23.0,8.0,10.0
DNA,12.0,7.0,8.0,7.0,8.0
Dickens,12.0,14.0,7.0,3.0,2.0
Paul McCartney,12.0,5.0,4.0,3.0,1.0
Romeo,12.0,8.0,4.0,3.0,3.0
Vancouver,12.0,8.0,10.0,10.0,3.0
Albert Einstein,12.0,7.0,4.0,3.0,3.0
cheese,12.0,4.0,3.0,6.0,3.0
Coca-Cola,12.0,14.0,4.0,1.0,2.0
bamboo,12.0,11.0,5.0,6.0,
Harry Truman,12.0,16.0,6.0,6.0,7.0
A Christmas Carol,12.0,4.0,4.0,1.0,
Cabaret,12.0,9.0,8.0,2.0,
Nancy Drew,12.0,4.0,3.0,3.0,
the Eiffel Tower,12.0,3.0,4.0,1.0,
a comet,12.0,9.0,9.0,2.0,
Arizona,12.0,14.0,15.0,14.0,15.0
tennis,12.0,4.0,8.0,4.0,2.0
Toronto,12.0,8.0,8.0,8.0,5.0
Rosalynn Carter,12.0,2.0,1.0,2.0,
Odin,12.0,8.0,7.0,6.0,1.0
Ontario,12.0,15.0,13.0,5.0,4.0
13,12.0,9.0,5.0,5.0,4.0
Joan Rivers,12.0,5.0,2.0,,1.0
Alexander Hamilton,12.0,6.0,5.0,6.0,7.0
Gulliver,12.0,5.0,3.0,3.0,
Cain,12.0,4.0,4.0,3.0,
McDonald's,12.0,4.0,2.0,1.0,1.0
Gettysburg,12.0,10.0,12.0,6.0,3.0
St. Peter's,11.0,1.0,2.0,1.0,
Bruce Springsteen,11.0,7.0,1.0,3.0,
Nevada,11.0,17.0,14.0,12.0,8.0
the Berlin Wall,11.0,7.0,2.0,1.0,
Harlem,11.0,7.0,2.0,3.0,
The Odd Couple,11.0,5.0,6.0,1.0,1.0
Al Capone,11.0,7.0,1.0,2.0,1.0
Tolkien,11.0,2.0,4.0,3.0,
Orion,11.0,9.0,4.0,2.0,6.0
the Constitution,11.0,1.0,3.0,3.0,
John Wilkes Booth,11.0,9.0,10.0,4.0,1.0
Ferdinand & Isabella,11.0,7.0,1.0,1.0,
Kennedy,11.0,8.0,6.0,,
Bethlehem,11.0,3.0,4.0,2.0,1.0
Warsaw,11.0,6.0,6.0,7.0,5.0
W.C. Fields,11.0,7.0,6.0,,1.0
Haiti,11.0,17.0,13.0,15.0,14.0
Eve,11.0,2.0,2.0,2.0,1.0
Venezuela,11.0,8.0,11.0,17.0,14.0
the English Channel,11.0,7.0,7.0,6.0,2.0
lead,11.0,18.0,17.0,9.0,4.0
Frank Sinatra,11.0,12.0,4.0,2.0,1.0
Custer,11.0,9.0,7.0,1.0,1.0
vodka,11.0,4.0,1.0,3.0,
A Tale of Two Cities,11.0,6.0,8.0,5.0,
Idaho,11.0,13.0,8.0,8.0,6.0
Muhammad Ali,11.0,9.0,3.0,,1.0
Pegasus,11.0,7.0,5.0,2.0,3.0
